idx;id;sci_name;com_name;class;order
5849;10646;Myiothlypis luteoviridis;Citrine Warbler;Aves;Passeriformes
5850;10647;Myiothlypis nigrocristata;Black-crested Warbler;Aves;Passeriformes
5851;10648;Myiothlypis rivularis;Riverbank Warbler;Aves;Passeriformes
5852;10649;Myiothlypis signata;Pale-legged Warbler;Aves;Passeriformes
5853;10650;Myiotriccus ornatus;Ornate Flycatcher;Aves;Passeriformes
5854;10651;Myiozetetes cayanensis;Rusty-margined Flycatcher;Aves;Passeriformes
5855;10652;Myiozetetes granadensis;Grey-capped Flycatcher;Aves;Passeriformes
5856;10653;Myiozetetes luteiventris;Dusky-chested Flycatcher;Aves;Passeriformes
5857;10654;Myiozetetes similis;Social Flycatcher;Aves;Passeriformes
5858;10655;Myocastor coypus;Coypu;Mammalia;Rodentia
5859;10657;Myophonus blighi;Sri Lanka Whistling Thrush;Aves;Passeriformes
5860;10658;Myophonus borneensis;Bornean Whistling Thrush;Aves;Passeriformes
5861;10659;Myophonus caeruleus;Blue Whistling Thrush;Aves;Passeriformes
5862;10660;Myophonus castaneus;Brown-winged Whistling Thrush;Aves;Passeriformes
5863;10661;Myophonus glaucinus;Javan Whistling Thrush;Aves;Passeriformes
5864;10662;Myophonus horsfieldii;Malabar Whistling Thrush;Aves;Passeriformes
5865;10663;Myophonus insularis;Taiwan Whistling Thrush;Aves;Passeriformes
5866;10664;Myophonus melanurus;Shiny Whistling Thrush;Aves;Passeriformes
5867;10684;Myornis senilis;Ash-colored Tapaculo;Aves;Passeriformes
5868;10696;Myotis dasycneme;pond bat;Mammalia;Chiroptera
5869;10711;Myotis nattereri;Natterer's Bat;Mammalia;Chiroptera
5870;10732;Myrmophylax atrothorax;Black-throated Antbird;Aves;Passeriformes
5871;10733;Poliocrania exsul;Chestnut-backed Antbird;Aves;Passeriformes
5872;10734;Myrmoderus ferrugineus;Ferruginous-backed Antbird;Aves;Passeriformes
5873;10735;Sciaphylax hemimelaena;Southern Chestnut-tailed Antbird;Aves;Passeriformes
5874;10736;Myrmelastes hyperythrus;Plumbeous Antbird;Aves;Passeriformes
5875;10737;Myrmeciza longipes;White-bellied Antbird;Aves;Passeriformes
5876;10738;Myrmoderus loricatus;White-bibbed Antbird;Aves;Passeriformes
5877;10739;Myrmoderus ruficauda;Scalloped Antbird;Aves;Passeriformes
5878;10740;Myrmoderus squamosus;Squamate Antbird;Aves;Passeriformes
5879;10741;Myrmecocichla aethiops;Anteater Chat;Aves;Passeriformes
5880;10742;Myrmecocichla arnotti;Arnot's Chat;Aves;Passeriformes
5881;10744;Myrmecocichla formicivora;Ant-eating Chat;Aves;Passeriformes
5882;10745;Myrmecocichla melaena;Rüppell's Black Chat;Aves;Passeriformes
5883;10746;Myrmecocichla monticola;Mountain Chat;Aves;Passeriformes
5884;10747;Myrmecocichla nigra;Sooty Chat;Aves;Passeriformes
5885;10752;Myrmelastes humaythae;Humaita Antbird;Aves;Passeriformes
5886;10753;Myrmelastes leucostigma;Spot-winged Antbird;Aves;Passeriformes
5887;10754;Myrmelastes rufifacies;Rufous-faced Antbird;Aves;Passeriformes
5888;10755;Myrmelastes saturatus;Roraiman Antbird;Aves;Passeriformes
5889;10756;Myrmelastes schistaceus;Slate-colored Antbird;Aves;Passeriformes
5890;10757;Myrmeleotettix maculatus;Mottled Grasshopper;Insecta;Orthoptera
5891;10759;Myrmia micrura;Short-tailed Woodstar;Aves;Apodiformes
